ACCOUNT NUMBER,TXN DATE,TXN AMT,CURRENCY,,DESCRIPTION,ID
20756882,02/04/2013,6260.00,GBP,100000,HMRC,1
20756882,02/04/2013,126258.86,GBP,106260.00,PATISSERIE VALERIE,2
20756882,02/04/2013,1266.88,GBP,232518.86,LONDON/2680601,3
20756882,10/04/2013,-6363.66,GBP,233785.74,O2,4
20756882,22/04/2013,-25000.00,GBP,227422.08,O2,5
20756882,22/04/2013,1166.50,GBP,202422.08,HMRC,6
20756882,25/04/2013,125.03,GBP,203588.58,BT GROUP PLC  ,7
20756882,26/04/2013,260.00,GBP,203713.61,BT GROUP PLC  ,8
20756882,29/04/2013,-60.00,GBP,203973.61,HMRC,9
20756882,29/04/2013,-800.00,GBP,203913.61,O2,10
20756882,30/04/2013,-565.00,GBP,203113.61,O2,11
20756882,07/05/2013,-260.00,GBP,202548.61,HMRC,12
20756882,13/05/2013,28510.32,GBP,202288.61,CLOSE PREMIUM FIN ,13
20756882,13/05/2013,-58.00,GBP,230798.93,O2,14
20756882,15/05/2013,-13300.00,GBP,230740.93,HMRC,15
20756882,20/05/2013,35.00,GBP,217440.93,O2,16
20756882,22/05/2013,600.00,GBP,217475.93,O2,17
20756882,28/05/2013,-1200.00,GBP,218075.93,HMRC,18
20756882,29/05/2013,-1000.00,GBP,216875.93,O2,19
20756882,29/05/2013,-13685.21,GBP,215875.93,O2,20
20756882,31/05/2013,-880.00,GBP,202190.72,SAINSBURYS S/MKTS,21
20756882,03/06/2013,-118.86,GBP,201310.72,E.ON      ,22
20756882,03/06/2013,22.80,GBP,201191.86,O2,23
20756882,04/06/2013,38.10,GBP,201214.66,E.ON      ,24
20756882,04/06/2013,13311.28,GBP,201252.76,CLOSE PREMIUM FIN ,25
20756882,05/06/2013,22.80,GBP,214564.04,HMRC,26
20756882,05/06/2013,38.10,GBP,214586.84,FLYBE/000100803468639,27
20756882,06/06/2013,31.12,GBP,214624.94,FLYBE/000100803468639,28
20756882,07/06/2013,286.18,GBP,214656.06,HMRC,29
20756882,24/06/2013,-202.18,GBP,214942.24,WH SMITH,30
20756882,19/08/2013,223.62,GBP,214740.06,ARGOS LTD,31
20756882,19/08/2013,20.20,GBP,214963.68,HMRC,32
20756882,19/08/2013,-3528.36,GBP,214983.88,O2,33
20756882,27/08/2013,-812.60,GBP,211455.52,HMRC,34
20756882,27/08/2013,-150.60,GBP,210642.92,BT DIRECT DEBITS ,35
20756882,29/08/2013,-338.13,GBP,210492.32,ASOS.COM/8195687,36
20756882,30/08/2013,250.00,GBP,210154.19,BT GROUP PLC  ,37
28004089,02/04/2013,62.61,GBP,100000.00,FDR POS TERM RENT,38
